1;MULTIPOINT((0 2.0), (1 2.2), (2 2.4), (3 2.6), (4 2.8), (5 3.0), (6 3.2), (7 3.4), (8 3.6), (9 3.8), (10 4.0), (11 4.2), (12 4.4), (13 4.6), (14 4.8), (15 5.0), (16 5.2), (17 5.4), (18 5.6), (19 5.8), (20 6.0), (21 6.2), (22 6.4), (23 6.6), (24 6.8), (25 7.0), (26 7.2), (27 7.4), (28 7.6), (29 7.8), (30 8.0), (31 25.0), (32 25.0), (33 25.0), (34 25.0), (35 25.0), (36 25.0), (37 25.0), (38 25.0), (39 25.0), (40 25.0), (41 25.0), (42 25.0), (43 25.0), (44 25.0), (45 25.0), (46 25.0), (47 25.0), (48 25.0), (49 25.0), (50 25.0), (51 25.0), (52 25.0), (53 25.0), (54 25.0), (55 25.0), (56 25.0), (57 25.0), (58 25.0), (59 25.0), (60 25.0), (61 25.0), (62 25.0), (63 25.0), (64 25.0), (65 25.0), (66 25.0), (67 25.0), (68 25.0), (69 25.0), (70 25.0), (71 48.0), (72 47.8), (73 47.6), (74 47.4), (75 47.2), (76 47.0), (77 46.8), (78 46.6), (79 46.4), (80 46.2), (81 46.0), (82 45.8), (83 45.6), (84 45.4), (85 45.2), (86 45.0), (87 44.8), (88 44.6), (89 44.4), (90 44.2), (91 44.0), (92 43.8), (93 43.6), (94 43.4), (95 43.2), (96 43.0), (97 42.8), (98 42.6), (99 42.4), (100 42.2), (101 45.0), (102 43.5), (103 41.9), (104 40.4), (105 38.8), (106 37.3), (107 35.8), (108 34.2), (109 32.7), (110 31.2), (111 29.6), (112 28.1), (113 26.5), (114 25.0), (115 23.5), (116 21.9), (117 20.4), (118 18.8), (119 17.3), (120 15.8), (121 14.2), (122 12.7), (123 11.2), (124 9.6), (125 8.1), (126 6.5), (127 5.0))
2;MULTIPOINT((0 2.0), (1 2.2), (2 2.4), (3 2.6), (4 2.8), (5 3.0), (6 3.2), (7 3.4), (8 3.6), (9 3.8), (10 4.0), (11 4.2), (12 4.4), (13 4.6), (14 4.8), (15 5.0), (16 5.2), (17 5.4), (18 5.6), (19 5.8), (20 6.0), (21 6.2), (22 6.4), (23 6.6), (24 6.8), (25 7.0), (26 7.2), (27 7.4), (28 7.6), (29 7.8), (30 8.0), (31 25.0), (32 25.0), (33 25.0), (34 25.0), (35 25.0), (36 25.0), (37 25.0), (38 25.0), (39 25.0), (40 25.0), (41 25.0), (42 25.0), (43 25.0), (44 25.0), (45 25.0), (46 25.0), (47 25.0), (48 25.0), (49 25.0), (50 25.0), (51 25.0), (52 25.0), (53 25.0), (54 25.0), (55 25.0), (56 25.0), (57 25.0), (58 25.0), (59 25.0), (60 25.0), (61 25.0), (62 25.0), (63 25.0), (64 25.0), (65 25.0), (66 25.0), (67 25.0), (68 25.0), (69 25.0), (70 25.0), (71 48.0), (72 47.8), (73 47.6), (74 47.4), (75 47.2), (76 47.0), (77 46.8), (78 46.6), (79 46.4), (80 46.2), (81 46.0), (82 45.8), (83 45.6), (84 45.4), (85 45.2), (86 45.0), (87 44.8), (88 44.6), (89 44.4), (90 44.2), (91 44.0), (92 43.8), (93 43.6), (94 43.4), (95 43.2), (96 43.0), (97 42.8), (98 42.6), (99 42.4), (100 42.2), (101 45.0), (102 43.4), (103 41.9), (104 40.4), (105 38.8), (106 37.3), (107 35.8), (108 34.2), (109 32.7), (110 31.1), (111 29.6), (112 28.1), (113 26.5), (114 25.0), (115 23.5), (116 21.9), (117 20.4), (118 18.9), (119 17.3), (120 15.8), (121 14.2), (122 12.7), (123 11.2), (124 9.6), (125 8.1), (126 6.6), (127 5.0))
3;MULTIPOINT((0 2.0), (1 2.2), (2 2.4), (3 2.6), (4 2.8), (5 3.0), (6 3.2), (7 3.4), (8 3.6), (9 3.8), (10 4.0), (11 4.2), (12 4.4), (13 4.6), (14 4.8), (15 5.0), (16 5.2), (17 5.4), (18 5.6), (19 5.8), (20 6.0), (21 6.2), (22 6.4), (23 6.6), (24 6.8), (25 7.0), (26 7.2), (27 7.4), (28 7.6), (29 7.8), (30 8.0), (31 25.0), (32 25.0), (33 25.0), (34 25.0), (35 25.0), (36 25.0), (37 25.0), (38 25.0), (39 25.0), (40 25.0), (41 25.0), (42 25.0), (43 25.0), (44 25.0), (45 25.0), (46 25.0), (47 25.0), (48 25.0), (49 25.0), (50 25.0), (51 25.0), (52 25.0), (53 25.0), (54 25.0), (55 25.0), (56 25.0), (57 25.0), (58 25.0), (59 25.0), (60 25.0), (61 25.0), (62 25.0), (63 25.0), (64 25.0), (65 25.0), (66 25.0), (67 25.0), (68 25.0), (69 25.0), (70 25.0), (71 48.0), (72 47.8), (73 47.6), (74 47.4), (75 47.2), (76 47.0), (77 46.8), (78 46.6), (79 46.4), (80 46.2), (81 46.0), (82 45.8), (83 45.6), (84 45.4), (85 45.2), (86 45.0), (87 44.8), (88 44.6), (89 44.4), (90 44.2), (91 44.0), (92 43.8), (93 43.6), (94 43.4), (95 43.2), (96 43.0), (97 42.8), (98 42.6), (99 42.4), (100 42.2), (101 45.0), (102 43.4), (103 41.9), (104 40.4), (105 38.8), (106 37.3), (107 35.7), (108 34.2), (109 32.7), (110 31.1), (111 29.6), (112 28.1), (113 26.5), (114 25.0), (115 23.5), (116 21.9), (117 20.4), (118 18.9), (119 17.3), (120 15.8), (121 14.3), (122 12.7), (123 11.2), (124 9.6), (125 8.1), (126 6.6), (127 5.0))
4;MULTIPOINT((0 2.1), (1 2.3), (2 2.5), (3 2.7), (4 2.9), (5 3.1), (6 3.3), (7 3.5), (8 3.7), (9 3.9), (10 4.1), (11 4.3), (12 4.5), (13 4.7), (14 4.9), (15 5.1), (16 5.3), (17 5.5), (18 5.7), (19 5.9), (20 6.1), (21 6.3), (22 6.5), (23 6.7), (24 6.9), (25 7.1), (26 7.3), (27 7.5), (28 7.7), (29 7.9), (30 8.1), (31 25.0), (32 25.0), (33 25.0), (34 25.0), (35 25.0), (36 25.0), (37 25.0), (38 25.0), (39 25.0), (40 25.0), (41 25.0), (42 25.0), (43 25.0), (44 25.0), (45 25.0), (46 25.0), (47 25.0), (48 25.0), (49 25.0), (50 25.0), (51 25.0), (52 25.0), (53 25.0), (54 25.0), (55 25.0), (56 25.0), (57 25.0), (58 25.0), (59 25.0), (60 25.0), (61 25.0), (62 25.0), (63 25.0), (64 25.0), (65 25.0), (66 25.0), (67 25.0), (68 25.0), (69 25.0), (70 25.0), (71 47.9), (72 47.7), (73 47.5), (74 47.3), (75 47.1), (76 46.9), (77 46.7), (78 46.5), (79 46.3), (80 46.1), (81 45.9), (82 45.7), (83 45.5), (84 45.3), (85 45.1), (86 44.9), (87 44.7), (88 44.5), (89 44.3), (90 44.1), (91 43.9), (92 43.7), (93 43.5), (94 43.3), (95 43.1), (96 42.9), (97 42.7), (98 42.5), (99 42.3), (100 42.1), (101 44.9), (102 43.4), (103 41.9), (104 40.3), (105 38.8), (106 37.3), (107 35.7), (108 34.2), (109 32.7), (110 31.1), (111 29.6), (112 28.1), (113 26.5), (114 25.0), (115 23.5), (116 21.9), (117 20.4), (118 18.9), (119 17.3), (120 15.8), (121 14.3), (122 12.7), (123 11.2), (124 9.7), (125 8.1), (126 6.6), (127 5.1))
5;MULTIPOINT((0 2.1), (1 2.3), (2 2.5), (3 2.7), (4 2.9), (5 3.1), (6 3.3), (7 3.5), (8 3.7), (9 3.9), (10 4.1), (11 4.3), (12 4.5), (13 4.7), (14 4.9), (15 5.1), (16 5.3), (17 5.5), (18 5.7), (19 5.9), (20 6.1), (21 6.3), (22 6.5), (23 6.7), (24 6.9), (25 7.1), (26 7.3), (27 7.5), (28 7.7), (29 7.9), (30 8.1), (31 25.0), (32 25.0), (33 25.0), (34 25.0), (35 25.0), (36 25.0), (37 25.0), (38 25.0), (39 25.0), (40 25.0), (41 25.0), (42 25.0), (43 25.0), (44 25.0), (45 25.0), (46 25.0), (47 25.0), (48 25.0), (49 25.0), (50 25.0), (51 25.0), (52 25.0), (53 25.0), (54 25.0), (55 25.0), (56 25.0), (57 25.0), (58 25.0), (59 25.0), (60 25.0), (61 25.0), (62 25.0), (63 25.0), (64 25.0), (65 25.0), (66 25.0), (67 25.0), (68 25.0), (69 25.0), (70 25.0), (71 47.9), (72 47.7), (73 47.5), (74 47.3), (75 47.1), (76 46.9), (77 46.7), (78 46.5), (79 46.3), (80 46.1), (81 45.9), (82 45.7), (83 45.5), (84 45.3), (85 45.1), (86 44.9), (87 44.7), (88 44.5), (89 44.3), (90 44.1), (91 43.9), (92 43.7), (93 43.5), (94 43.3), (95 43.1), (96 42.9), (97 42.7), (98 42.5), (99 42.3), (100 42.1), (101 44.9), (102 43.4), (103 41.9), (104 40.3), (105 38.8), (106 37.3), (107 35.7), (108 34.2), (109 32.7), (110 31.1), (111 29.6), (112 28.1), (113 26.5), (114 25.0), (115 23.5), (116 21.9), (117 20.4), (118 18.9), (119 17.3), (120 15.8), (121 14.3), (122 12.7), (123 11.2), (124 9.7), (125 8.1), (126 6.6), (127 5.1))
6;MULTIPOINT((0 2.1), (1 2.3), (2 2.5), (3 2.7), (4 2.9), (5 3.1), (6 3.3), (7 3.5), (8 3.7), (9 3.9), (10 4.1), (11 4.3), (12 4.5), (13 4.7), (14 4.9), (15 5.1), (16 5.3), (17 5.5), (18 5.7), (19 5.9), (20 6.1), (21 6.3), (22 6.5), (23 6.7), (24 6.9), (25 7.1), (26 7.3), (27 7.5), (28 7.7), (29 7.9), (30 8.1), (31 25.0), (32 25.0), (33 25.0), (34 25.0), (35 25.0), (36 25.0), (37 25.0), (38 25.0), (39 25.0), (40 25.0), (41 25.0), (42 25.0), (43 25.0), (44 25.0), (45 25.0), (46 25.0), (47 25.0), (48 25.0), (49 25.0), (50 25.0), (51 25.0), (52 25.0), (53 25.0), (54 25.0), (55 25.0), (56 25.0), (57 25.0), (58 25.0), (59 25.0), (60 25.0), (61 25.0), (62 25.0), (63 25.0), (64 25.0), (65 25.0), (66 25.0), (67 25.0), (68 25.0), (69 25.0), (70 25.0), (71 47.9), (72 47.7), (73 47.5), (74 47.3), (75 47.1), (76 46.9), (77 46.7), (78 46.5), (79 46.3), (80 46.1), (81 45.9), (82 45.7), (83 45.5), (84 45.3), (85 45.1), (86 44.9), (87 44.7), (88 44.5), (89 44.3), (90 44.1), (91 43.9), (92 43.7), (93 43.5), (94 43.3), (95 43.1), (96 42.9), (97 42.7), (98 42.5), (99 42.3), (100 42.1), (101 44.9), (102 43.4), (103 41.8), (104 40.3), (105 38.8), (106 37.2), (107 35.7), (108 34.2), (109 32.7), (110 31.1), (111 29.6), (112 28.1), (113 26.5), (114 25.0), (115 23.5), (116 21.9), (117 20.4), (118 18.9), (119 17.3), (120 15.8), (121 14.3), (122 12.8), (123 11.2), (124 9.7), (125 8.2), (126 6.6), (127 5.1))
7;MULTIPOINT((0 2.1), (1 2.3), (2 2.5), (3 2.7), (4 2.9), (5 3.1), (6 3.3), (7 3.5), (8 3.7), (9 3.9), (10 4.1), (11 4.3), (12 4.5), (13 4.7), (14 4.9), (15 5.1), (16 5.3), (17 5.5), (18 5.7), (19 5.9), (20 6.1), (21 6.3), (22 6.5), (23 6.7), (24 6.9), (25 7.1), (26 7.3), (27 7.5), (28 7.7), (29 7.9), (30 8.1), (31 25.0), (32 25.0), (33 25.0), (34 25.0), (35 25.0), (36 25.0), (37 25.0), (38 25.0), (39 25.0), (40 25.0), (41 25.0), (42 25.0), (43 25.0), (44 25.0), (45 25.0), (46 25.0), (47 25.0), (48 25.0), (49 25.0), (50 25.0), (51 25.0), (52 25.0), (53 25.0), (54 25.0), (55 25.0), (56 25.0), (57 25.0), (58 25.0), (59 25.0), (60 25.0), (61 25.0), (62 25.0), (63 25.0), (64 25.0), (65 25.0), (66 25.0), (67 25.0), (68 25.0), (69 25.0), (70 25.0), (71 47.9), (72 47.7), (73 47.5), (74 47.3), (75 47.1), (76 46.9), (77 46.7), (78 46.5), (79 46.3), (80 46.1), (81 45.9), (82 45.7), (83 45.5), (84 45.3), (85 45.1), (86 44.9), (87 44.7), (88 44.5), (89 44.3), (90 44.1), (91 43.9), (92 43.7), (93 43.5), (94 43.3), (95 43.1), (96 42.9), (97 42.7), (98 42.5), (99 42.3), (100 42.1), (101 44.9), (102 43.4), (103 41.8), (104 40.3), (105 38.8), (106 37.2), (107 35.7), (108 34.2), (109 32.6), (110 31.1), (111 29.6), (112 28.1), (113 26.5), (114 25.0), (115 23.5), (116 21.9), (117 20.4), (118 18.9), (119 17.4), (120 15.8), (121 14.3), (122 12.8), (123 11.2), (124 9.7), (125 8.2), (126 6.6), (127 5.1))
8;MULTIPOINT((0 2.1), (1 2.3), (2 2.5), (3 2.7), (4 2.9), (5 3.1), (6 3.3), (7 3.5), (8 3.7), (9 3.9), (10 4.1), (11 4.3), (12 4.5), (13 4.7), (14 4.9), (15 5.1), (16 5.3), (17 5.5), (18 5.7), (19 5.9), (20 6.1), (21 6.3), (22 6.5), (23 6.7), (24 6.9), (25 7.1), (26 7.3), (27 7.5), (28 7.7), (29 7.9), (30 8.1), (31 25.0), (32 25.0), (33 25.0), (34 25.0), (35 25.0), (36 25.0), (37 25.0), (38 25.0), (39 25.0), (40 25.0), (41 25.0), (42 25.0), (43 25.0), (44 25.0), (45 25.0), (46 25.0), (47 25.0), (48 25.0), (49 25.0), (50 25.0), (51 25.0), (52 25.0), (53 25.0), (54 25.0), (55 25.0), (56 25.0), (57 25.0), (58 25.0), (59 25.0), (60 25.0), (61 25.0), (62 25.0), (63 25.0), (64 25.0), (65 25.0), (66 25.0), (67 25.0), (68 25.0), (69 25.0), (70 25.0), (71 47.9), (72 47.7), (73 47.5), (74 47.3), (75 47.1), (76 46.9), (77 46.7), (78 46.5), (79 46.3), (80 46.1), (81 45.9), (82 45.7), (83 45.5), (84 45.3), (85 45.1), (86 44.9), (87 44.7), (88 44.5), (89 44.3), (90 44.1), (91 43.9), (92 43.7), (93 43.5), (94 43.3), (95 43.1), (96 42.9), (97 42.7), (98 42.5), (99 42.3), (100 42.1), (101 44.9), (102 43.3), (103 41.8), (104 40.3), (105 38.7), (106 37.2), (107 35.7), (108 34.2), (109 32.6), (110 31.1), (111 29.6), (112 28.1), (113 26.5), (114 25.0), (115 23.5), (116 21.9), (117 20.4), (118 18.9), (119 17.4), (120 15.8), (121 14.3), (122 12.8), (123 11.3), (124 9.7), (125 8.2), (126 6.7), (127 5.1))
9;MULTIPOINT((0 2.2), (1 2.4), (2 2.6), (3 2.8), (4 3.0), (5 3.2), (6 3.4), (7 3.6), (8 3.8), (9 4.0), (10 4.2), (11 4.4), (12 4.6), (13 4.8), (14 5.0), (15 5.2), (16 5.4), (17 5.6), (18 5.8), (19 6.0), (20 6.2), (21 6.4), (22 6.6), (23 6.8), (24 7.0), (25 7.2), (26 7.4), (27 7.6), (28 7.8), (29 8.0), (30 8.2), (31 25.0), (32 25.0), (33 25.0), (34 25.0), (35 25.0), (36 25.0), (37 25.0), (38 25.0), (39 25.0), (40 25.0), (41 25.0), (42 25.0), (43 25.0), (44 25.0), (45 25.0), (46 25.0), (47 25.0), (48 25.0), (49 25.0), (50 25.0), (51 25.0), (52 25.0), (53 25.0), (54 25.0), (55 25.0), (56 25.0), (57 25.0), (58 25.0), (59 25.0), (60 25.0), (61 25.0), (62 25.0), (63 25.0), (64 25.0), (65 25.0), (66 25.0), (67 25.0), (68 25.0), (69 25.0), (70 25.0), (71 47.8), (72 47.6), (73 47.4), (74 47.2), (75 47.0), (76 46.8), (77 46.6), (78 46.4), (79 46.2), (80 46.0), (81 45.8), (82 45.6), (83 45.4), (84 45.2), (85 45.0), (86 44.8), (87 44.6), (88 44.4), (89 44.2), (90 44.0), (91 43.8), (92 43.6), (93 43.4), (94 43.2), (95 43.0), (96 42.8), (97 42.6), (98 42.4), (99 42.2), (100 42.0), (101 44.8), (102 43.3), (103 41.8), (104 40.3), (105 38.7), (106 37.2), (107 35.7), (108 34.2), (109 32.6), (110 31.1), (111 29.6), (112 28.1), (113 26.5), (114 25.0), (115 23.5), (116 21.9), (117 20.4), (118 18.9), (119 17.4), (120 15.8), (121 14.3), (122 12.8), (123 11.3), (124 9.7), (125 8.2), (126 6.7), (127 5.2))
10;MULTIPOINT((0 2.2), (1 2.4), (2 2.6), (3 2.8), (4 3.0), (5 3.2), (6 3.4), (7 3.6), (8 3.8), (9 4.0), (10 4.2), (11 4.4), (12 4.6), (13 4.8), (14 5.0), (15 5.2), (16 5.4), (17 5.6), (18 5.8), (19 6.0), (20 6.2), (21 6.4), (22 6.6), (23 6.8), (24 7.0), (25 7.2), (26 7.4), (27 7.6), (28 7.8), (29 8.0), (30 8.2), (31 25.0), (32 25.0), (33 25.0), (34 25.0), (35 25.0), (36 25.0), (37 25.0), (38 25.0), (39 25.0), (40 25.0), (41 25.0), (42 25.0), (43 25.0), (44 25.0), (45 25.0), (46 25.0), (47 25.0), (48 25.0), (49 25.0), (50 25.0), (51 25.0), (52 25.0), (53 25.0), (54 25.0), (55 25.0), (56 25.0), (57 25.0), (58 25.0), (59 25.0), (60 25.0), (61 25.0), (62 25.0), (63 25.0), (64 25.0), (65 25.0), (66 25.0), (67 25.0), (68 25.0), (69 25.0), (70 25.0), (71 47.8), (72 47.6), (73 47.4), (74 47.2), (75 47.0), (76 46.8), (77 46.6), (78 46.4), (79 46.2), (80 46.0), (81 45.8), (82 45.6), (83 45.4), (84 45.2), (85 45.0), (86 44.8), (87 44.6), (88 44.4), (89 44.2), (90 44.0), (91 43.8), (92 43.6), (93 43.4), (94 43.2), (95 43.0), (96 42.8), (97 42.6), (98 42.4), (99 42.2), (100 42.0), (101 44.8), (102 43.3), (103 41.8), (104 40.2), (105 38.7), (106 37.2), (107 35.7), (108 34.1), (109 32.6), (110 31.1), (111 29.6), (112 28.0), (113 26.5), (114 25.0), (115 23.5), (116 22.0), (117 20.4), (118 18.9), (119 17.4), (120 15.9), (121 14.3), (122 12.8), (123 11.3), (124 9.8), (125 8.2), (126 6.7), (127 5.2))
